code,im,ro,da,vi,tv,pr
AU,Австралия,Австралии,Австралии,Австралию,Австралией,Австралии
AT,Австрия,Австрии,Австрии,Австрию,Австрией,Австрии
AZ,Азербайджан,Азербайджана,Азербайджану,Азербайджан,Азербайджаном,Азербайджане
AL,Албания,Албании,Албании,Албанию,Албанией,Албании
DZ,Алжир,Алжира,Алжиру,Алжир,Алжиром,Алжире
AS,Американское Самоа,Американского Самоа,Американскому Самоа,Американское Самоа,Американским Самоа,Американском Самоа
AI,Ангилья,Ангильи,Ангилье,Ангилью,Ангильей,Ангилье
AO,Ангола,Анголы,Анголе,Анголу,Анголой,Анголе
AD,Андорра,Андорры,Андорре,Андорру,Андоррой,Андорре
AQ,Антарктида,Антарктиды,Антарктиде,Антарктиду,Антарктидой,Антарктиде
AG,Антигуа и Барбуда,Антигуа и Барбуды,Антигуа и Барбуде,Антигуа и Барбуду,Антигуа и Барбудой,Антигуа и Барбуде
AR,Аргентина,Аргентины,Аргентине,Аргентину,Аргентиной,Аргентине
AM,Армения,Армении,Армении,Армению,Арменией,Армении
AW,Аруба,Арубы,Арубе,Арубу,Арубой,Арубе
AF,Афганистан,Афганистана,Афганистану,Афганистан,Афганистаном,Афганистане
BS,Багамы,Багам,Багамам,Багамы,Багамами,Багамах
BD,Бангладеш,Бангладеша,Бангладешу,Бангладеш,Бангладешем,Бангладеше
BB,Барбадос,Барбадоса,Барбадосу,Барбадос,Барбадосом,Барбадосе
BH,Бахрейн,Бахрейна,Бахрейну,Бахрейн,Бахрейном,Бахрейне
BY,Беларусь,Беларуси,Беларуси,Беларусь,Беларусью,Беларуси
BZ,Белиз,Белиза,Белизу,Белиз,Белизом,Белизе
BE,Бельгия,Бельгии,Бельгии,Бельгию,Бельгией,Бельгии
BJ,Бенин,Бенина,Бенину,Бенин,Бенином,Бенине
BM,Бермуды,Бермуд,Бермудам,Бермуды,Бермудами,Бермудах
BG,Болгария,Болгарии,Болгарии,Болгарию,Болгарией,Болгарии
BO,Боливия,Боливии,Боливии,Боливию,Боливией,Боливии
BQ,"Бонайре, Саба и Синт-Эстатиус","Бонайре, Саба и Синт-Эстатиус","Бонайре, Саба и Синт-Эстатиус","Бонайре, Саба и Синт-Эстатиус","Бонайре, Саба и Синт-Эстатиус","Бонайре, Саба и Синт-Эстатиус"
BA,Босния и Герцеговина,Боснии и Герцеговины,Боснии и Герцеговине,Боснию и Герцеговину,Боснией и Герцеговиной,Боснии и Герцеговине
BW,Ботсвана,Ботсваны,Ботсване,Ботсвану,Ботсваной,Ботсване
BR,Бразилия,Бразилии,Бразилии,Бразилию,Бразилией,Бразилии
IO,Британская территория в Индийском океане,Британской территории в Индийском океане,Британской территории в Индийском океане,Британскую территорию в Индийском океане,Британской территории в Индийском океане,Британской территории в Индийском океане
BN,Бруней,Брунея,Брунею,Бруней,Брунеем,Брунее
BF,Буркина-Фасо,Буркина-Фасо,Буркина-Фасо,Буркина-Фасо,Буркина-Фасо,Буркина-Фасо
BI,Бурунди,Бурунди,Бурунди,Бурунди,Бурунди,Бурунди
BT,Бутан,Бутана,Бутану,Бутан,Бутаном,Бутане
VU,Вануату,Вануату,Вануату,Вануату,Вануату,Вануату
VA,Ватикан,Ватикана,Ватикану,Ватикана,Ватиканом,Ватикане
GB,Великобритания,Великобритании,Великобритании,Великобританию,Великобританией,Великобритании
HU,Венгрия,Венгрии,Венгрии,Венгрию,Венгрией,Венгрии
VE,Венесуэла,Венесуэлы,Венесуэле,Венесуэлу,Венесуэлой,Венесуэле
VI,Виргинские острова,Виргинских островов,Виргинским островам,Виргинские острова,Виргинскими островами,Виргинских островах
VG,"Виргинские острова, Британские",Виргинских островов Британии,Виргинским островам Британии,Виргинские острова Британию,Виргинскими островами Британией,Виргинских островах Британии
VN,Вьетнам,Вьетнама,Вьетнаму,Вьетнам,Вьетнамом,Вьетнаме
GA,Габон,Габона,Габону,Габон,Габоном,Габоне
HT,Гаити,Гаити,Гаити,Гаити,Гаити,Гаити
GY,Гайана,Гайаны,Гайане,Гайану,Гайаной,Гайане
GM,Гамбия,Гамбии,Гамбии,Гамбию,Гамбией,Гамбии
GH,Гана,Ганы,Гане,Гану,Ганой,Гане
GP,Гваделупа,Гваделупы,Гваделупе,Гваделупу,Гваделупой,Гваделупе
GT,Гватемала,Гватемалы,Гватемале,Гватемалу,Гватемалой,Гватемале
GN,Гвинея,Гвинеи,Гвинее,Гвинею,Гвинеей,Гвинее
GW,Гвинея-Бисау,Гвинеи-Бисау,Гвинее-Бисау,Гвинею-Бисау,Гвинеей-Бисау,Гвинее-Бисау
DE,Германия,Германии,Германии,Германию,Германией,Германии
GG,Гернси,Гернси,Гернси,Гернси,Гернси,Гернси
GI,Гибралтар,Гибралтара,Гибралтару,Гибралтар,Гибралтаром,Гибралтаре
HN,Гондурас,Гондураса,Гондурасу,Гондурас,Гондурасом,Гондурасе
HK,Гонконг,Гонконга,Гонконгу,Гонконг,Гонконгом,Гонконге
GD,Гренада,Гренады,Гренаде,Гренаду,Гренадой,Гренаде
GL,Гренландия,Гренландии,Гренландии,Гренландию,Гренландией,Гренландии
GR,Греция,Греции,Греции,Грецию,Грецией,Греции
GE,Грузия,Грузии,Грузии,Грузию,Грузией,Грузии
GU,Гуам,Гуама,Гуаму,Гуам,Гуамом,Гуаме
DK,Дания,Дании,Дании,Данию,Данией,Дании
JE,Джерси,Джерси,Джерси,Джерси,Джерси,Джерси
DJ,Джибути,Джибути,Джибути,Джибути,Джибути,Джибути
DM,Доминика,Доминики,Доминике,Доминику,Доминикой,Доминике
DO,Доминиканская Республика,Доминиканской Республики,Доминиканской Республике,Доминиканскую Республику,Доминиканской Республикой,Оминиканской Республике
EG,Египет,Египта,Египту,Египет,Египтом,Египте
ZM,Замбия,Замбии,Замбии,Замбию,Замбией,Замбии
EH,Западная Сахара,Западной Сахары,Западной Сахаре,Западную Сахару,Западной Сахарой,Западной Сахаре
ZW,Зимбабве,Зимбабве,Зимбабве,Зимбабве,Зимбабве,Зимбабве
IL,Израиль,Израиля,Израилю,Израиль,Израилем,Израиле
IN,Индия,Индии,Индии,Индию,Индией,Индии
ID,Индонезия,Индонезии,Индонезии,Индонезию,Индонезией,Индонезии
JO,Иордания,Иордании,Иордании,Иорданию,Иорданией,Иордании
IQ,Ирак,Ирака,Ираку,Ирак,Ираком,Ираке
IR,Иран,Ирана,Ирану,Иран,Ираном,Иране
IE,Ирландия,Ирландии,Ирландии,Ирландию,Ирландией,Ирландии
IS,Исландия,Исландии,Исландии,Исландию,Исландией,Исландии
ES,Испания,Испании,Испании,Испанию,Испанией,Испании
IT,Италия,Италии,Италии,Италию,Италией,Италии
YE,Йемен,Йемена,Йемену,Йемен,Йеменом,Йемене
CV,Кабо-Верде,Кабо-Верде,Кабо-Верде,Кабо-Верде,Кабо-Верде,Кабо-Верде
KZ,Казахстан,Казахстана,Казахстану,Казахстан,Казахстаном,Казахстане
KY,Каймановы острова,Каймановых островов,Каймановым островам,Каймановы острова,Каймановыми островами,Каймановых островах
